Country,Province,Name,Owner,Shareholders,ShareholderNationality,PlantRiver,Latitude,Longitude,Status,Capacity,Year,Capital,Link,
Brasil,Bahia,Paulo Afonso II,Companhia Hidro Elétrica do São Francisco,Eletrobras Chesf,Brasil,San Francisco,-9.39688312,-38.20266305,Operacional,443,1961,Estatal,https://www.chesf.gov.br/SistemaChesf/Pages/SistemaGeracao/PauloAfonsoII.aspx,
Brasil,São Paulo,Jaguara,Companhia Energética Jaguara,Engie ,França,Grande,-20.02273195,-47.43389241,Operacional,424,1971,Privado,https://www.engie.com.br/usinas/usina-hidreletrica-jaguara/,
Brasil,São Paulo,Chavantes,Rio Paranapanema Energia S.A.,CTG Brasil,China,Paranapanema,-23.12795665,-49.73295944,Operacional,414,1970,Privado,https://www.ctgbr.com.br/portfolio-item/energia-hidreletrica/,
Brasil,Minas Gerais,Miranda,Companhia Energética Miranda,Engie ,França,Araguari,-18.91040777,-48.04090734,Operacional,408,1998,Privado,https://www.engie.com.br/en/generation-complex/power-plant/miranda-hydroelectric-power-plant/,
Brasil,Mato Grosso,Sinop,Companhia Energética Sinop S.A.,"EDF Norte Fluminense (51%), Eletrobras Eletronorte (24,5%) e Eletrobras Chesf (24,5%)",França,Teles Pires,-11.26666667,-55.45000000,Operacional,401,2019,Misto,https://www.sinopenergia.com.br/sobre-a-uhe-sinop,
Brasil,Alagoas,Apolônio Sales (Antiga Moxotó),Companhia Hidro Elétrica do São Francisco,Eletrobras Chesf,Brasil,San Francisco,-9.35811016,-38.20849092,Operacional,400,1977,Estatal,https://www.chesf.gov.br/SistemaChesf/Pages/SistemaGeracao/ApolonioSales.aspx,
Brasil,Minas Gerais,Irapé,CEMIG Geração e Transmissão S/A,Cemig,Brasil,Jequitinhonha,-16.73805556,-42.57472222,Operacional,399,2006,Estatal,https://www.cemig.com.br/usina/uhe-irape/,
Brasil,Minas Gerais,Três Marias,CEMIG Geração Três Marias S.A.,Cemig,Brasil,San Francisco,-18.21500000,-45.25916666,Operacional,396,1962,Estatal,https://www.cemig.com.br/usina/tres-marias/,
Brasil,Amapá,Santo Antônio do Jari,ECE Participações S.A.,"CTG (50%), EDP (50%)",China / Portugal,Jari,-0.65000000,-52.51666667,Operacional,392,2014,Privado,https://brasil.edp.com/en/uhe-jari,
Brasil,Rio de Janeiro,Nilo Peçanha,Light Energia S.A.,Light,Brasil,Piraí,-22.68330445,-43.87327510,Operacional,380,1953,Misto,http://www.light.com.br/grupo-light/Empresas-do-Grupo/light-energia.aspx,
Brasil,Minas Gerais,Volta Grande,ENEL Green Power Projetos I S.A.,Enel Green Power,Itália,Grande,-20.03326721,-48.22184427,Operacional,380,1974,Privado,https://br.lexlatin.com/noticias/enel-paga-dividas-da-usina-hidreletrica-de-volta-grande,
Brasil,Goiás,Corumbá I,Furnas Centrais Elétricas S.A.,Eletrobras Furnas,Brasil,Corumbá,-17.98786025,-48.53231848,Operacional,375,1996,Estatal,https://www.furnas.com.br/corumba/?culture=pt,
Brasil,Paraná,Governador Jayme Canet Júnior (Antiga Mauá),"Copel Geração e Transmissão S.A., Companhia de Geração e Transmissão de Energia Elétrica do Sul do Brasil - Eletrobras CGT Eletrosul","Copel (51%), Eletrobras CGT Eletrosul (49%)",Brasil,Tibagi,-24.06211584,-50.70715699,Operacional,361,2012,Misto,http://www.usinamaua.com.br/a-usina,
Brasil,Paraná,Rosana,"Duke Energy International, Geração Paranapanema S.A.",CTG Brasil,China,Paranapanema,-22.60000000,-52.86944400,Operacional,354,1987,Privado,https://www.ctgbr.com.br/portfolio-item/energia-hidreletrica/,
Brasil,Paraná,Baixo Iguaçu,"Geração Céu Azul S.A., Copel Geração e Transmissão S.A","Neoenergia (70%), Copel (30%)",Espanha,Iguaçu,-25.50333000,-53.67166600,Operacional,350,2019,Misto,https://www.neoenergia.com/pt-br/sobre-nos/linhas-de-negocios/renovaveis/renovaveis-hidrica/baixo-iguacu/Paginas/default.aspx,
Brasil,São Paulo,Nova Avanhandava (Rui Barbosa),AES Tietê S.A.,AES ,Estados Unidos,Tietê,-21.11888900,-50.20111100,Operacional,347,1982,Privado,http://www.turismoburitama.com.br/site/usina-hidreletrica-nova-avanhandava/,
Brasil,Minas Gerais,Simplício,Furnas Centrais Elétricas S.A.,Eletrobras Furnas,Brasil,Paraíba do Sul,-21.92074371,-42.79314838,Operacional,333,2013,Estatal,https://www.furnas.com.br/simplicioanta/?culture=pt,
Brasil,Minas Gerais,Aimorés,Aliança Geração de Energia S.A.,"Vale (55%), Cemig (45%)",Brasil,Doce,-19.45714111,-41.09797972,Operacional,330,2006,Misto,https://aliancaenergia.com.br/br/uhe-de-aimores/,
